timestamp, clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], fan.speed [%]
2024/12/17 19:59:31.545, 2775 MHz, 10251 MHz, P2, 96 %, 40 %, 11408 MiB, 256.61 W, 41 %
2024/12/17 19:59:32.050, 2775 MHz, 10251 MHz, P2, 95 %, 40 %, 11398 MiB, 255.85 W, 41 %
2024/12/17 19:59:32.553, 2775 MHz, 10251 MHz, P2, 97 %, 41 %, 11398 MiB, 255.24 W, 41 %
2024/12/17 19:59:33.057, 2775 MHz, 10251 MHz, P2, 95 %, 40 %, 11398 MiB, 255.24 W, 41 %
2024/12/17 19:59:33.560, 2775 MHz, 10251 MHz, P2, 99 %, 42 %, 11399 MiB, 255.90 W, 41 %
2024/12/17 19:59:34.063, 2775 MHz, 10251 MHz, P2, 97 %, 41 %, 11417 MiB, 257.20 W, 41 %
2024/12/17 19:59:34.566, 2775 MHz, 10251 MHz, P2, 97 %, 41 %, 11407 MiB, 256.24 W, 42 %
2024/12/17 19:59:35.068, 2775 MHz, 10251 MHz, P2, 96 %, 41 %, 11407 MiB, 256.07 W, 42 %
2024/12/17 19:59:35.571, 2775 MHz, 10251 MHz, P2, 95 %, 40 %, 11407 MiB, 256.33 W, 42 %
2024/12/17 19:59:36.074, 2775 MHz, 10251 MHz, P2, 96 %, 41 %, 11415 MiB, 256.97 W, 42 %
2024/12/17 19:59:36.588, 2775 MHz, 10251 MHz, P2, 99 %, 38 %, 11476 MiB, 252.28 W, 42 %
2024/12/17 19:59:37.091, 2775 MHz, 10251 MHz, P2, 96 %, 38 %, 11480 MiB, 249.26 W, 42 %
2024/12/17 19:59:37.594, 2775 MHz, 10251 MHz, P2, 96 %, 35 %, 11533 MiB, 250.65 W, 42 %
2024/12/17 19:59:38.097, 2775 MHz, 10251 MHz, P2, 99 %, 37 %, 11529 MiB, 251.34 W, 42 %
